MGI Gene/Marker ID,mouseSymbol,Name,Chr,Qualifier,Annotated Term,Context,Proteoform,Evidence,Inferred From,Reference(s)
MGI:103034,Stat6,signal transducer and activator of transcription 6,10,,cellular response to hydrogen peroxide,,,ISO,RGD:1309063 ,J:155856 
MGI:1316731,Stc2,stanniocalcin 2,11,,response to oxidative stress,has the participant fibroblast,,IMP,MGI:5285561 ,J:175075 
MGI:2385007,Stk24,serine/threonine kinase 24,14,,intrinsic apoptotic signaling pathway in response to oxidative stress,,,ISO,Q9Y6E0 ,J:164563 
MGI:2385007,Stk24,serine/threonine kinase 24,14,,response to hydrogen peroxide,,,ISO,Q9Y6E0 ,J:164563 
MGI:1891699,Stk25,serine/threonine kinase 25 (yeast),1,,intrinsic apoptotic signaling pathway in response to hydrogen peroxide,,,ISO,O00506 ,J:164563 
MGI:1891699,Stk25,serine/threonine kinase 25 (yeast),1,,response to hydrogen peroxide,,,ISO,O00506 ,J:164563 
MGI:1917665,Stk26,serine/threonine kinase 26,X,,regulation of hydrogen peroxide-induced cell death,,,ISO,Q9P289 ,J:164563 
MGI:1917665,Stk26,serine/threonine kinase 26,X,,response to hydrogen peroxide,,,ISO,Q9P289 ,J:164563 
MGI:2684909,Stox1,storkhead box 1,10,,regulation of response to oxidative stress,,,ISO,Q6ZVD7 ,J:164563 
MGI:108059,Stx2,syntaxin 2,5,,cellular response to oxidative stress,,,ISO,P32856 ,J:164563 
MGI:893577,Stx4a,syntaxin 4A (placental),7,,cellular response to oxidative stress,,,ISO,Q12846 ,J:164563 
MGI:3033336,Szt2,SZT2 subunit of KICSTOR complex,4,,regulation of superoxide dismutase activity,,,IMP,,J:205670 
MGI:98475,Tacr1,tachykinin receptor 1,6,,response to ozone,,,ISO,RGD:3811 ,J:155856 
MGI:98487,Tat,tyrosine aminotransferase,8,,response to oxidative stress,,,ISO,RGD:3820 ,J:155856 
MGI:2443456,Tbc1d24,"TBC1 domain family, member 24",17,,negative regulation of oxidative stress-induced neuron death,,,IDA,,J:230923 
MGI:2443456,Tbc1d24,"TBC1 domain family, member 24",17,,neuron death in response to oxidative stress,,,IMP,,J:271632 
MGI:2443456,Tbc1d24,"TBC1 domain family, member 24",17,,neuron death in response to oxidative stress,happens in hippocampal neuron,,IMP,MGI:5692831 ,J:271632 
MGI:2443456,Tbc1d24,"TBC1 domain family, member 24",17,,neuron death in response to oxidative stress,happens in neuron of cerebral cortex,,IMP,MGI:5692831 ,J:271632 
MGI:2443456,Tbc1d24,"TBC1 domain family, member 24",17,,neuron death in response to oxidative stress,,,ISO,Q9ULP9 ,J:271632 
MGI:98737,Thbs1,thrombospondin 1,2,,cellular response to nitric oxide,,,IMP,MGI:2154534 ,J:101420 
MGI:2686178,Tldc2,TBC/LysM associated domain containing 2,2,,negative regulation of oxidative stress-induced neuron death,,,IBA,PTN001156357 ,J:265628 
MGI:2686178,Tldc2,TBC/LysM associated domain containing 2,2,,negative regulation of oxidative stress-induced neuron death,,,IDA,,J:230923 
MGI:2686178,Tldc2,TBC/LysM associated domain containing 2,2,,response to oxidative stress,,,IBA,PTN001156357 ,J:265628 
MGI:96824,Tlr4,toll-like receptor 4,4,,positive regulation of oxidative stress-induced neuron death,"regulates a function/process that happens in neuron,happens in microglial cell",,IGI,P05067 ,J:158401 
MGI:96824,Tlr4,toll-like receptor 4,4,,response to oxidative stress,,,ISO,RGD:3870 ,J:155856 
MGI:1341296,Tlr6,toll-like receptor 6,5,,positive regulation of oxidative stress-induced neuron death,"regulates a function/process that happens in neuron,happens in microglial cell",,IGI,P05067 ,J:158401 
MGI:2384577,Tmem161a,transmembrane protein 161A,8,,cellular response to oxidative stress,,,ISO,Q9NX61 ,J:164563 
MGI:104798,Tnf,tumor necrosis factor,17,,positive regulation of oxidative stress-induced neuron death,,,ISO,RGD:3876 ,J:155856 
MGI:104798,Tnf,tumor necrosis factor,17,,positive regulation of superoxide dismutase activity,,,ISO,P01375 ,J:164563 
MGI:1196377,Tnfaip3,"tumor necrosis factor, alpha-induced protein 3",10,,cellular response to hydrogen peroxide,,,IMP,,J:196955 
MGI:98791,Top2b,topoisomerase (DNA) II beta,14,,cellular response to hydrogen peroxide,,,ISO,RGD:1586156 ,J:155856 
MGI:1353568,Tor1a,"torsin family 1, member A (torsin A)",2,,response to oxidative stress,,,ISO,RGD:628863 ,J:155856 
MGI:98813,Tpo,thyroid peroxidase,12,,response to oxidative stress,,,IEA,IPR010255 ,J:72247 
MGI:101835,Traf2,TNF receptor-associated factor 2,2,,cellular response to nitric oxide,happens in fibroblast,,IMP,,J:146389 
MGI:1915265,Trap1,TNF receptor-associated protein 1,16,,negative regulation of intrinsic apoptotic signaling pathway in response to hydrogen peroxide,,,ISO,RGD:1359733 ,J:155856 
MGI:1328317,Trex1,three prime repair exonuclease 1,9,,cellular response to oxidative stress,,,IMP,MGI:3052754 ,J:208222 
MGI:1328317,Trex1,three prime repair exonuclease 1,9,,cellular response to reactive oxygen species,,,IMP,MGI:3052754 ,J:208222 
MGI:98834,Trp53,transformation related protein 53,11,,cellular response to reactive oxygen species,,,ISO,RGD:3889 ,J:155856 
MGI:98834,Trp53,transformation related protein 53,11,,oxidative stress-induced premature senescence,,,ISO,P04637 ,J:164563 
MGI:98834,Trp53,transformation related protein 53,11,,regulation of hydrogen peroxide-induced cell death,,,ISO,RGD:3889 ,J:155856 
MGI:98834,Trp53,transformation related protein 53,11,,response to oxidative stress,has the participant fibroblast,,IGI,MGI:2145814 ,J:186254 
MGI:98834,Trp53,transformation related protein 53,11,,response to oxidative stress,,,IMP,,J:124168 
MGI:1926609,Trp53inp1,transformation related protein 53 inducible nuclear protein 1,4,,cellular response to hydroperoxide,,,IDA,,J:72788 
MGI:3522699,Trpa1,"transient receptor potential cation channel, subfamily A, member 1",1,,response to hydrogen peroxide,,,IMP,MGI:3692770 ,J:135206 
MGI:109523,Trpc6,"transient receptor potential cation channel, subfamily C, member 6",9,,cellular response to hydrogen peroxide,,,ISO,RGD:619788 ,J:155856 
MGI:1351901,Trpm2,"transient receptor potential cation channel, subfamily M, member 2",10,,cellular response to hydrogen peroxide,,,ISO,O94759 ,J:164563 
MGI:1351901,Trpm2,"transient receptor potential cation channel, subfamily M, member 2",10,,positive regulation of oxidative stress-induced neuron death,,,ISO,RGD:1311889 ,J:155856 
MGI:1351901,Trpm2,"transient receptor potential cation channel, subfamily M, member 2",10,,response to hydroperoxide,,,IDA,,J:137259 
MGI:1351901,Trpm2,"transient receptor potential cation channel, subfamily M, member 2",10,,response to oxidative stress,,,IEA,IPR029594 ,J:72247 
MGI:1929183,Tsc1,TSC complex subunit 1,2,,negative regulation of oxidative stress-induced neuron death,,,ISO,RGD:620124 ,J:155856 
MGI:1354168,Ttpa,tocopherol (alpha) transfer protein,4,,age-dependent response to oxidative stress involved in chronological cell aging,"uses Pla2g3,happens in astrocyte,happens in telencephalon",,IMP,MGI:2386172 ,J:243822 
MGI:98874,Txn1,thioredoxin 1,4,,negative regulation of hydrogen peroxide-induced cell death,,,ISO,P10599 ,J:164563 
MGI:98874,Txn1,thioredoxin 1,4,,response to nitric oxide,,,ISO,P10599 ,J:164563 
MGI:2389312,Txndc2,thioredoxin domain containing 2 (spermatozoa),17,,cellular response to reactive oxygen species,happens in sperm,,IGI,MGI:1920662 ,J:205172 
MGI:1889549,Txnip,thioredoxin interacting protein,3,,response to oxidative stress,,,IDA,,J:62834 
MGI:1354175,Txnrd1,thioredoxin reductase 1,10,,response to oxidative stress,,,ISO,RGD:61959 ,J:155856 
MGI:1347023,Txnrd2,thioredoxin reductase 2,16,,response to oxygen radical,,,TAS,,J:57020 
MGI:1919815,Uaca,uveal autoantigen with coiled-coil domains and ankyrin repeats,9,,intrinsic apoptotic signaling pathway in response to oxidative stress,regulates a function/process that happens in fibroblast,,IMP,MGI:3043446 ,J:93333 
MGI:1860276,Ubqln1,ubiquilin 1,13,,regulation of oxidative stress-induced intrinsic apoptotic signaling pathway,,,ISO,Q9UMX0 ,J:164563 
MGI:1276123,Ucn,urocortin,5,,response to oxidative stress,,,ISO,RGD:3929 ,J:155856 
MGI:98894,Ucp1,"uncoupling protein 1 (mitochondrial, proton carrier)",8,,cellular response to reactive oxygen species,,,IMP,,J:235306 
MGI:109354,Ucp2,"uncoupling protein 2 (mitochondrial, proton carrier)",7,,response to superoxide,,,ISO,RGD:3932 ,J:155856 
MGI:1099787,Ucp3,"uncoupling protein 3 (mitochondrial, proton carrier)",7,,response to superoxide,,,IMP,MGI:2183204 ,J:78047 
MGI:1099787,Ucp3,"uncoupling protein 3 (mitochondrial, proton carrier)",7,,response to superoxide,,,ISO,RGD:3933 ,J:155856 
MGI:1916915,Upk3bl,uroplakin 3B-like,5,,response to oxidative stress,,,IEA,IPR010255 ,J:72247 
MGI:1916818,Vkorc1l1,"vitamin K epoxide reductase complex, subunit 1-like 1",5,,cellular response to oxidative stress,,,ISO,Q8N0U8 ,J:164563 
MGI:108395,Vnn1,vanin 1,10,,negative regulation of oxidative stress-induced intrinsic apoptotic signaling pathway,,,IMP,,J:92268 
MGI:1917172,Vrk2,vaccinia related kinase 2,11,,cellular response to oxidative stress,,,ISO,Q86Y07 ,J:164563 
MGI:98953,Wnt1,"wingless-type MMTV integration site family, member 1",15,,negative regulation of oxidative stress-induced neuron death,"is caused by the action of astrocyte,regulates a function/process that happens in midbrain dopaminergic neuron",,IMP,,J:231273 
MGI:2136018,Wnt16,"wingless-type MMTV integration site family, member 16",6,,oxidative stress-induced premature senescence,,,ISO,Q9UBV4 ,J:164563 
MGI:109635,Wrn,Werner syndrome RecQ like helicase,8,,response to oxidative stress,,,ISO,Q14191 ,J:164563 
MGI:98970,Xbp1,X-box binding protein 1,11,,cellular response to oxidative stress,,,ISO,P17861 ,J:164563 
MGI:99135,Xpa,"xeroderma pigmentosum, complementation group A",4,,response to oxidative stress,,,IMP,MGI:1857939 ,J:76608 J:81189 
MGI:99137,Xrcc1,X-ray repair complementing defective repair in Chinese hamster cells 1,7,,response to hydroperoxide,,,ISO,P18887 ,J:164563 
MGI:2385891,Zc3h12a,zinc finger CCCH type containing 12A,4,,cellular response to oxidative stress,,,IDA,,J:178149 
MGI:1890393,Zfp277,zinc finger protein 277,12,,cellular response to hydrogen peroxide,,,IMP,MGI:5496522 ,J:198334 
MGI:1916242,Zfp580,zinc finger protein 580,7,,cellular response to hydrogen peroxide,,,ISO,Q9UK33 ,J:164563 
MGI:1289282,Zfp622,zinc finger protein 622,15,,intrinsic apoptotic signaling pathway in response to oxidative stress,,,ISO,Q969S3 ,J:164563 
Others,Nnt,NA,NA,NA,NA,NA,NA,NA,NA,NA
